model,index,guid,title,inference_time_seconds,file,rouge1_precision,rouge1_recall,rouge1_f1,rouge2_precision,rouge2_recall,rouge2_f1,rougeL_precision,rougeL_recall,rougeL_f1,bertscore_precision,bertscore_recall,bertscore_f1,entity_supported,entity_total,entity_precision,number_supported,number_total,number_consistency,nli_claim_count,nli_contradiction_count,nli_hallucination_count,nli_contradiction_prob_sum,nli_entailment_prob_sum,contradiction_rate,hallucination_rate,mean_contradiction_probability,mean_entailment_probability
HKL-ViT5,0,0,,11.4038,results\vit5-base-HLK-0001\test_predictions_txt\00000_guid-0_untitled.txt,0.532608695652174,0.3858267716535433,0.4474885844748858,0.23076923076923078,0.16666666666666666,0.1935483870967742,0.34782608695652173,0.25196850393700787,0.2922374429223744,0.8964666128158569,0.8786632418632507,0.8874756693840027,3,3,1.0,0,0,nan,4,0,1,0.0006792545318603516,2.8045434951782227,0.0,0.25,0.0001698136329650879,0.7011358737945557
HKL-ViT5,1,1,,13.192,results\vit5-base-HLK-0001\test_predictions_txt\00001_guid-1_untitled.txt,0.5656565656565656,0.509090909090909,0.5358851674641149,0.32653061224489793,0.29357798165137616,0.30917874396135264,0.42424242424242425,0.38181818181818183,0.4019138755980861,0.9113816618919373,0.9074328541755676,0.9094029664993286,0,0,nan,4,4,1.0,4,0,1,0.0042542219161987305,3.162109375,0.0,0.25,0.0010635554790496826,0.79052734375
HKL-ViT5,2,2,,15.7321,results\vit5-base-HLK-0001\test_predictions_txt\00002_guid-2_untitled.txt,0.6060606060606061,0.5357142857142857,0.5687203791469194,0.2755102040816326,0.24324324324324326,0.2583732057416268,0.35353535353535354,0.3125,0.33175355450236965,0.9132063984870911,0.899284839630127,0.9061921834945679,7,7,1.0,3,3,1.0,5,0,2,0.01450490951538086,2.5356063842773438,0.0,0.4,0.002900981903076172,0.5071212768554687
HKL-ViT5,3,3,,18.9082,results\vit5-base-HLK-0001\test_predictions_txt\00003_guid-3_untitled.txt,0.4444444444444444,0.4666666666666667,0.45528455284552843,0.192,0.20168067226890757,0.19672131147540986,0.1984126984126984,0.20833333333333334,0.2032520325203252,0.8831272125244141,0.8873107433319092,0.8852140307426453,1,2,0.5,1,1,1.0,5,0,3,0.007840752601623535,2.1470504999160767,0.0,0.6,0.001568150520324707,0.42941009998321533
HKL-ViT5,4,4,,12.2593,results\vit5-base-HLK-0001\test_predictions_txt\00004_guid-4_untitled.txt,0.5280898876404494,0.573170731707317,0.5497076023391814,0.25,0.2716049382716049,0.2603550295857988,0.33707865168539325,0.36585365853658536,0.35087719298245607,0.9009135961532593,0.9036997556686401,0.9023045301437378,3,3,1.0,0,0,nan,5,0,3,0.000981748104095459,1.9970159530639648,0.0,0.6,0.00019634962081909179,0.39940319061279295
HKL-ViT5,5,5,,12.9899,results\vit5-base-HLK-0001\test_predictions_txt\00005_guid-5_untitled.txt,0.4537037037037037,0.4537037037037037,0.4537037037037037,0.24299065420560748,0.24299065420560748,0.24299065420560748,0.2777777777777778,0.2777777777777778,0.2777777777777778,0.8866490125656128,0.8967517614364624,0.8916717767715454,2,2,1.0,0,0,nan,4,0,2,0.00286865234375,1.1559464931488037,0.0,0.5,0.0007171630859375,0.2889866232872009
HKL-ViT5,6,6,,14.0697,results\vit5-base-HLK-0001\test_predictions_txt\00006_guid-6_untitled.txt,0.6666666666666666,0.48120300751879697,0.5589519650655023,0.45263157894736844,0.32575757575757575,0.3788546255506608,0.4583333333333333,0.3308270676691729,0.38427947598253276,0.923445999622345,0.9175685048103333,0.9204978942871094,1,1,1.0,0,0,nan,4,0,1,0.0004604458808898926,3.0104293823242188,0.0,0.25,0.00011511147022247314,0.7526073455810547
HKL-ViT5,7,7,,11.1282,results\vit5-base-HLK-0001\test_predictions_txt\00007_guid-7_untitled.txt,0.6,0.7215189873417721,0.6551724137931034,0.4574468085106383,0.5512820512820513,0.5,0.5263157894736842,0.6329113924050633,0.5747126436781609,0.9255869388580322,0.9449037313461304,0.9351456165313721,2,4,0.5,2,2,1.0,4,0,0,0.0017192363739013672,3.5146484375,0.0,0.0,0.0004298090934753418,0.878662109375
HKL-ViT5,8,8,,11.0214,results\vit5-base-HLK-0001\test_predictions_txt\00008_guid-8_untitled.txt,0.6730769230769231,0.660377358490566,0.6666666666666667,0.49514563106796117,0.4857142857142857,0.49038461538461536,0.4326923076923077,0.42452830188679247,0.42857142857142855,0.9232661128044128,0.9199685454368591,0.921614408493042,1,1,1.0,0,0,nan,5,0,1,0.00449061393737793,3.8837156295776367,0.0,0.2,0.0008981227874755859,0.7767431259155273
HKL-ViT5,9,9,,13.1698,results\vit5-base-HLK-0001\test_predictions_txt\00009_guid-9_untitled.txt,0.37606837606837606,0.3893805309734513,0.382608695652174,0.12931034482758622,0.13392857142857142,0.13157894736842107,0.21367521367521367,0.22123893805309736,0.21739130434782608,0.8749393224716187,0.8871042728424072,0.8809797763824463,2,2,1.0,0,0,nan,5,0,0,0.0008448362350463867,4.97802734375,0.0,0.0,0.00016896724700927735,0.99560546875
HKL-ViT5,10,10,,14.1755,results\vit5-base-HLK-0001\test_predictions_txt\00010_guid-10_untitled.txt,0.45794392523364486,0.5268817204301075,0.49,0.2358490566037736,0.2717391304347826,0.25252525252525254,0.2523364485981308,0.2903225806451613,0.27,0.8867312669754028,0.9161456227302551,0.9011984467506409,0,0,nan,0,0,nan,4,0,1,0.0011122822761535645,2.934764862060547,0.0,0.25,0.0002780705690383911,0.7336912155151367
HKL-ViT5,11,11,,16.8984,results\vit5-base-HLK-0001\test_predictions_txt\00011_guid-11_untitled.txt,0.5,0.4608695652173913,0.4796380090497738,0.23809523809523808,0.21929824561403508,0.22831050228310504,0.2641509433962264,0.24347826086956523,0.2533936651583711,0.8886933326721191,0.8897594213485718,0.8892260789871216,0,0,nan,0,0,nan,3,0,3,0.001038193702697754,0.044480323791503906,0.0,1.0,0.00034606456756591797,0.014826774597167969
